                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8724,                 5.5651,                 1.8481,                      0,                      0,                      0,                      0,                 3.0751,                 5.5899,                 1.3101,             0.00010625,             0.00010625,             0.00010625
                      2,                 2.4407,                 3.8502,                 1.0078,                0.01598,                0.38779,                0.05346,                0.01856,                 2.6056,                 4.8185,                 1.1962,             0.00021658,             0.00021658,             0.00021658
                      3,                 2.2042,                 2.4369,                0.97499,                0.02795,                 0.5261,                0.11507,                0.03967,                 2.5995,                  4.692,                 1.1901,             0.00032469,             0.00032469,             0.00032469
                      4,                 2.1823,                 2.0021,                0.99522,                 0.0318,                0.64404,                0.18921,                0.06907,                 2.5453,                 4.1348,                 1.1525,             0.00043057,             0.00043057,             0.00043057
                      5,                 2.0823,                 1.7492,                0.97314,                0.06768,                0.66286,                0.24092,                0.10495,                 2.4029,                 3.8936,                 1.1193,             0.00053422,             0.00053422,             0.00053422
                      6,                 2.0289,                 1.5504,                0.96183,                0.65481,                0.29917,                0.40885,                0.18408,                 2.3005,                 3.2887,                 1.0439,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.9979,                 1.4196,                0.96513,                0.64722,                0.16483,                0.28819,                0.08825,                 2.9337,                 3.3754,                  1.141,             0.00059406,             0.00059406,             0.00059406
                      8,                 2.0042,                 1.3262,                0.96753,                  0.639,                0.32716,                0.46166,                0.21085,                 2.2893,                 3.1345,                 1.0531,             0.00058787,             0.00058787,             0.00058787
                      9,                  1.971,                 1.3058,                0.94376,                0.60596,                0.59463,                 0.5129,                0.25081,                 2.1441,                 2.6847,                 1.0175,             0.00058169,             0.00058169,             0.00058169
                     10,                   1.94,                 1.2481,                0.95756,                0.53451,                0.64403,                0.42559,                0.19562,                 2.2544,                 2.8945,                  1.042,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.9469,                 1.2182,                0.94861,                0.54413,                0.64575,                0.44795,                0.17828,                 2.5046,                 2.8193,                 1.1056,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.9703,                 1.1581,                0.95823,                0.57156,                0.67818,                0.51298,                0.26176,                 2.1252,                 2.8161,                 1.0312,             0.00056313,             0.00056313,             0.00056313
                     13,                  1.884,                  1.128,                0.94103,                0.48663,                0.59603,                0.33332,                0.11633,                 2.7394,                 3.2275,                 1.1541,             0.00055694,             0.00055694,             0.00055694
                     14,                   1.95,                 1.1506,                0.94847,                0.48207,                 0.5503,                0.39368,                0.13234,                 2.9261,                 3.3107,                 1.2056,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.9624,                 1.1386,                 0.9593,                0.40937,                0.49876,                0.30893,                0.12401,                 2.8629,                 3.9943,                 1.2314,             0.00054456,             0.00054456,             0.00054456
